riu_id,name,problem_pattern,execution_intent,workstreams,coordinates,trigger_signals,artifacts,reversibility,success_conditions,failure_modes,dependencies,agent_types,notes
RIU-011,Data Contract Freeze (Schemas + Samples),Shifting schemas across sources cause downstream rework.,"Freeze versioned data contract: schemas, sample payloads, constraints, validation rules.",Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,data_contract.yaml | sample_payloads/ | schema_validators/,mixed,"{""execution"": ""Contract validates against representative samples."", ""outcome"": ""Integration unblocked; fewer misunderstandings."", ""safety_quality"": ""PII handling recorded where relevant.""}","{""silent"": [""schema drift unnoticed""], ""loud"": [""samples missing""], ""clustered"": [""multi-source joins""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-012,PII/Compliance Triage (Controls Plan),Regulated data or compliance requirements constrain design and tooling.,"Classify sensitivity, define minimization/redaction, document audit logging requirements.",Quality & Safety | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,compliance_triage.md | data_minimization_plan.md | audit_logging_requirements.md,one_way,"{""execution"": ""Controls explicit; safe processing allowlist defined."", ""outcome"": ""Compliance review path clear."", ""safety_quality"": ""No disallowed fields processed.""}","{""silent"": [""PII in logs""], ""loud"": [""policy conflict discovered late""], ""clustered"": [""HIPAA/PCI/GDPR customers""]}",,ARK:Tyrannosaurus | Human:Delivery | ARK:Velociraptor,
RIU-013,Source-of-Truth Inventory (Systems + Owners),Multiple systems exist; unclear which is authoritative for each datum.,"Create source-of-truth map listing systems, owners, fields, cadence, trust.",Interfaces & Inputs | Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,source_of_truth_inventory.md,two_way,"{""execution"": ""Each key field has an authoritative owner/system."", ""outcome"": ""Integration ambiguity reduced."", ""safety_quality"": ""Supports drift detection.""}","{""silent"": [""shadow spreadsheets""], ""loud"": [""conflicting system owners""], ""clustered"": [""post-merger environments""]}",,Human:Delivery | ARK:Argentavis,
RIU-014,Data Sampling + Edge-Case Catalog,Data fails in reality due to edge cases.,Collect representative samples; catalog edge cases; convert into tests.,Interfaces & Inputs | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,edge_case_catalog.md | edge_case_samples/ | edge_case_tests/,two_way,"{""execution"": ""Edge cases enumerated and testable."", ""outcome"": ""Fewer surprises during implementation."", ""safety_quality"": ""Improves eval harness quality.""}","{""silent"": [""rare encodings break parsing""], ""loud"": [""missing access to raw data""], ""clustered"": [""internationalization/multilingual""]}",,ARK:Therizinosaurus | ARK:Velociraptor,
RIU-015,Contract for Outputs (API/Events/Files),Downstream consumers need stable outputs; unclear payload/SLA/semantics.,"Define output contract: schema, semantics, idempotency, SLAs, versioning.",Interfaces & Inputs | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,output_contract.yaml | consumer_expectations.md,one_way,"{""execution"": ""Consumers integrate without rework."", ""outcome"": ""Versioning/compatibility explicit."", ""safety_quality"": ""One-way doors flagged pre-commitment.""}","{""silent"": [""breaking changes""], ""loud"": [""consumer rejects semantics""], ""clustered"": [""multiple downstream consumers""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-016,API Contract Review + Versioning Plan,API changes break customers.,Review API contract; define compatibility + versioning rules.,Interfaces & Inputs | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,api_contract_review.md | versioning_plan.md,one_way,"{""execution"": ""Compatibility rules explicit."", ""outcome"": ""Customers protected from breaking changes."", ""safety_quality"": ""Safe evolution path.""}","{""silent"": [""undeclared breaking changes""], ""loud"": [""client incompatibility""], ""clustered"": [""mobile clients""]}",RIU-015,ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-017,Connector Spec (Source/Target),Need to build/configure a connector reliably.,"Define connector spec: auth, pagination, rate limits, retries, mapping, error handling.",Interfaces & Inputs | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,connector_spec.md | mapping_rules.yaml | connector_tests/,mixed,"{""execution"": ""Connector works end-to-end with retries."", ""outcome"": ""Mapping deterministic."", ""safety_quality"": ""Ops expectations explicit.""}","{""silent"": [""pagination bugs""], ""loud"": [""rate limit bans""], ""clustered"": [""large accounts""]}",RIU-010 | RIU-011,ARK:Tyrannosaurus | ARK:Therizinosaurus,
RIU-018,Schema Mapping Table (Source→Target),Field mapping causes endless churn.,Create mapping table with transforms/defaults/provenance; validate with samples.,Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,schema_mapping.csv | transform_rules.yaml | mapping_tests/,two_way,"{""execution"": ""Mappings agreed and testable."", ""outcome"": ""Fewer mapping bugs."", ""safety_quality"": ""Supports auditability.""}","{""silent"": [""implicit transforms""], ""loud"": [""mapping disagreement""], ""clustered"": [""optional fields""]}",RIU-011,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-019,Data Lineage Sketch (Minimal),Need to understand data movement and dependencies.,"Produce minimal lineage diagram + narrative: source→processing→sink, including owners.",Interfaces & Inputs | Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,data_lineage.md | lineage_diagram.md,two_way,"{""execution"": ""Shared understanding of data flow."", ""outcome"": ""Reduces compliance/ops surprises."", ""safety_quality"": ""Improves debugging speed.""}","{""silent"": [""lineage outdated""], ""loud"": [""unknown processing step""], ""clustered"": [""multi-service pipelines""]}",RIU-013,ARK:Tyrannosaurus | ARK:Argentavis,
RIU-020,Baseline Behavior Snapshot (Before Changes),Baseline is unknown; risk of regressions.,Capture baseline outputs + metrics for representative cases; store as golden artifacts.,Core Logic | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,baseline_report.md | baseline_outputs/ | baseline_metrics.json,two_way,"{""execution"": ""Baseline reproducible; improvements measurable."", ""outcome"": ""Regression risk reduced."", ""safety_quality"": ""Supports rollback decisions.""}","{""silent"": [""non-representative baseline""], ""loud"": [""no access to system""], ""clustered"": [""multi-tenant systems""]}",,ARK:Velociraptor | ARK:Argentavis,
RIU-021,Golden Set + Offline Evaluation Harness,Quality needs measurement without perfect telemetry.,"Build golden cases, expected doc families, and offline metrics runner.",Quality & Safety | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,golden_set.jsonl | eval_runner/ | eval_report.md,two_way,"{""execution"": ""Changes gated by offline eval."", ""outcome"": ""Quality improvements measurable."", ""safety_quality"": ""Prevents 'feels better' shipping.""}","{""silent"": [""golden set too narrow""], ""loud"": [""no ground truth agreement""], ""clustered"": [""subjective outputs""]}",,ARK:Velociraptor | ARK:Tyrannosaurus,
RIU-022,Prompt Interface Contract (Inputs/Outputs),Prompting drifts; unclear variables and output format.,"Define prompt interface: variables, constraints, required schema, failure handling.",Core Logic | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,prompt_contract.md | output_schema.json | prompt_templates/,mixed,"{""execution"": ""Prompts composable + versionable."", ""outcome"": ""Outputs parse reliably."", ""safety_quality"": ""Reduces brittle prompt drift.""}","{""silent"": [""schema not enforced""], ""loud"": [""model changes break format""], ""clustered"": [""long-context prompts""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-023,Deterministic-First Pipeline Split,LLM used where deterministic logic would be safer; need containment.,Split pipeline into deterministic and LLM stages; add guards + fallbacks.,Core Logic | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,pipeline_split.md | deterministic_modules/ | llm_modules/ | fallback_rules.yaml,two_way,"{""execution"": ""Most failures become loud and diagnosable."", ""outcome"": ""Reduced hallucination surface."", ""safety_quality"": ""Fallbacks maintain usability.""}","{""silent"": [""LLM used without evidence tags""], ""loud"": [""fallback not triggered""], ""clustered"": [""edge-case inputs""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-024,Sidecar Augmentation (Read-Only Intelligence Artifacts),Augment an existing system without rewriting it.,Generate adjacent sidecar artifacts keyed by doc_id/entity_id with computed signals + reason codes.,Core Logic | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,sidecar_schema.json | sidecar_writer/ | sidecar_reader/,two_way,"{""execution"": ""Augmentation works without touching source system."", ""outcome"": ""Rollback = ignore sidecars."", ""safety_quality"": ""Sidecars idempotent + versioned.""}","{""silent"": [""doc_id mismatches""], ""loud"": [""schema validation fails""], ""clustered"": [""multiple doc sources""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-025,Freshness/Staleness Rules (Deterministic),Recommendations are stale; ingestion lag exists; removals are silent.,Implement freshness classes + downrank/omit rules; orphan detection via last-seen snapshots.,Quality & Safety | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,freshness_rules.yaml | orphan_detector/ | staleness_tests/,two_way,"{""execution"": ""Stale outputs reduced; behavior predictable."", ""outcome"": ""Orphans never surfaced."", ""safety_quality"": ""Staleness cases covered in eval.""}","{""silent"": [""timestamps missing""], ""loud"": [""false orphaning""], ""clustered"": [""bursty sync schedules""]}",,ARK:Therizinosaurus | ARK:Velociraptor | ARK:Tyrannosaurus,
RIU-026,Hybrid Similarity (Enums + Embeddings),Need 'seen this before' exemplars for faster operator reasoning.,Return neighbors using hybrid similarity + reason codes; avoid LLM prose by default.,Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,similarity_index/ | neighbor_service/ | reason_codes.md,two_way,"{""execution"": ""Operators find precedents faster."", ""outcome"": ""Neighbors explainable via reason codes."", ""safety_quality"": ""Stable under no-change conditions.""}","{""silent"": [""semantic drift""], ""loud"": [""index build fails""], ""clustered"": [""multilingual corpora""]}",,ARK:Therizinosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-027,Reranking Layer (Post-Retrieval),Baseline retrieval exists; need better ordering without changing index.,Apply reranking using deterministic signals + optional model scoring; include explanations.,Core Logic | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,reranker_module/ | explainability_rules.md | rerank_eval.md,two_way,"{""execution"": ""Top-k relevance improves measurably."", ""outcome"": ""Explanations cite signals."", ""safety_quality"": ""Rollback = disable reranker.""}","{""silent"": [""overfit to popular docs""], ""loud"": [""latency regression""], ""clustered"": [""long-tail queries""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-028,Schema-Constrained Generation,Outputs must be machine-usable; free-form text breaks downstream.,"Enforce JSON schema outputs with validation, retries, and partial repair.",Core Logic | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,output_schema.json | validator/ | repair_rules.md,two_way,"{""execution"": ""Parse errors drop significantly."", ""outcome"": ""Failures become loud/recoverable."", ""safety_quality"": ""Supports deterministic downstream.""}","{""silent"": [""accepting partial invalid JSON""], ""loud"": [""schema too strict""], ""clustered"": [""nested objects""]}",,ARK:Therizinosaurus | ARK:Velociraptor,
RIU-029,Tool-Calling Safety Envelope,Agents can call tools; must limit blast radius and enforce permissions.,"Define tool allowlist, rate limits, redaction, and audit requirements.",Quality & Safety | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,tool_allowlist.yaml | tool_limits.md | tool_audit_requirements.md,one_way,"{""execution"": ""Tool calls bounded and auditable."", ""outcome"": ""No sensitive data leakage."", ""safety_quality"": ""Safe-by-default execution.""}","{""silent"": [""tool called with unsafe args""], ""loud"": [""missing audit logs""], ""clustered"": [""high concurrency""]}",,ARK:Tyrannosaurus | ARK:Velociraptor | ARK:Therizinosaurus,
RIU-032,Extraction Pattern (Structured from Unstructured),Need reliable extraction of fields from text/docs.,"Implement extraction with schema constraints, confidence, and fallbacks; produce eval set.",Core Logic | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,extraction_schema.json | extractor/ | extraction_eval.jsonl,two_way,"{""execution"": ""Structured fields extracted reliably."", ""outcome"": ""Error cases visible."", ""safety_quality"": ""Extraction measurable.""}","{""silent"": [""hallucinated fields""], ""loud"": [""schema violations""], ""clustered"": [""long docs""]}",RIU-028 | RIU-021,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-033,Classification Pattern (Soft Labels),Need labels for narrowing/analytics without overfitting.,Implement soft classification with confidence + abstain; log uncertainty.,Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,label_schema.json | classifier/ | abstain_rules.md,two_way,"{""execution"": ""Labels useful without forced certainty."", ""outcome"": ""Abstentions guide discovery."", ""safety_quality"": ""Supports clustering.""}","{""silent"": [""overconfident wrong labels""], ""loud"": [""model drift""], ""clustered"": [""new categories""]}",RIU-021,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-034,Ranking Explanation Rules (Reason Codes),Need explainability without LLM fluff.,Define deterministic reason codes and attach to ranked outputs.,Core Logic | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,reason_codes.md | explainability_rules.yaml,two_way,"{""execution"": ""Recommendations explainable."", ""outcome"": ""Ranking changes debug-friendly."", ""safety_quality"": ""Trust improves.""}","{""silent"": [""reasons don't match reality""], ""loud"": [""missing signals""], ""clustered"": [""multi-signal ranking""]}",RIU-027,ARK:Tyrannosaurus | ARK:Therizinosaurus,
RIU-035,Caching Strategy + Invalidation Plan,Latency/cost too high; caching needed; risk of staleness.,"Define caching layers, TTLs, invalidation triggers, and tradeoffs.",Core Logic | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,cache_plan.md | invalidation_rules.yaml,mixed,"{""execution"": ""Latency/cost reduced measurably."", ""outcome"": ""Staleness controlled and explicit."", ""safety_quality"": ""Cache failures diagnosable.""}","{""silent"": [""serving stale cache""], ""loud"": [""cache stampede""], ""clustered"": [""bursty queries""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus,
RIU-060,Deployment Readiness Envelope (Anchor),Deployment readiness unknown; risk of environment surprises.,"Define deployment envelope: envs, configs, secrets, migrations, rollback, release gates.",Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,deployment_envelope.md | env_matrix.md | release_gates.md,mixed,"{""execution"": ""Requirements for safe deploy across envs."", ""outcome"": ""Rollback/gates defined before launch."", ""safety_quality"": ""Reduces environment drift.""}","{""silent"": [""config drift""], ""loud"": [""missing secrets""], ""clustered"": [""multi-region deploys""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-061,Observability Baseline (Anchor),System not observable; failures will be silent.,"Define minimum observability: logs, metrics, traces, dashboards, alerts, and ownership.",Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,observability_baseline.md | dashboards/ | alerts.md | logging_spec.md,two_way,"{""execution"": ""Key flows measurable; alerts fire on bad states."", ""outcome"": ""Debugging is faster."", ""safety_quality"": ""Prevents silent degradation.""}","{""silent"": [""missing correlation IDs""], ""loud"": [""alert storms""], ""clustered"": [""spiky traffic patterns""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-062,Incident Containment & Recovery Plan (Anchor),"Need containment, rollback, comms, ownership before incidents happen.","Create incident runbook with kill switches, rollback, comms templates, escalation owners.",Ops & Delivery | Adoption & Change | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,incident_runbook.md | kill_switch.md | customer_comms_templates.md,mixed,"{""execution"": ""Incidents handled predictably with minimal downtime."", ""outcome"": ""Comms are clear/timely."", ""safety_quality"": ""No uncontrolled changes during recovery.""}","{""silent"": [""no kill switch""], ""loud"": [""conflicting responders""], ""clustered"": [""after-hours incidents""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-063,Performance & Load Characterization (Anchor),Performance unknown; risk of SLA failure after commitments.,"Define performance envelope, load tests, bottleneck analysis, scaling assumptions.",Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,perf_envelope.md | load_tests/ | bottleneck_report.md,two_way,"{""execution"": ""Latency/throughput measured under realistic loads."", ""outcome"": ""Scaling assumptions documented."", ""safety_quality"": ""Prevents premature SLA commitments.""}","{""silent"": [""tests not representative""], ""loud"": [""timeouts under load""], ""clustered"": [""cold starts / cache warmups""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-064,Feature Flags + Kill Switch Integration,Need safe rollout and instant rollback without redeploy.,Implement feature flags for risky paths and a kill switch for critical flows.,Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,flags.yaml | kill_switch.md | rollout_plan.md,two_way,"{""execution"": ""New behavior can be disabled instantly."", ""outcome"": ""Rollouts staged safely."", ""safety_quality"": ""Incidents contained quickly.""}","{""silent"": [""flags not wired to real code paths""], ""loud"": [""flag state inconsistent""], ""clustered"": [""multi-service systems""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-065,Config Management + Environment Parity,Works in one env but fails in another; configs diverge.,Centralize configs; define env parity checks; document differences explicitly.,Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,config_spec.md | env_parity_checks/ | config_templates/,two_way,"{""execution"": ""Environment drift detected early."", ""outcome"": ""Deploys reproduce local behavior."", ""safety_quality"": ""Less 'works on staging'.""}","{""silent"": [""undocumented env vars""], ""loud"": [""missing config keys""], ""clustered"": [""multiple tenants""]}",,ARK:Therizinosaurus | ARK:Velociraptor,
RIU-066,Secrets Handling + Rotation Expectations,Secrets needed; risk leakage or rotation breakage.,"Define secrets storage, access, rotation, and smoke tests.",Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,secrets_plan.md | rotation_playbook.md | secret_smoketests/,one_way,"{""execution"": ""Secrets managed safely and rotate without downtime."", ""outcome"": ""No secrets in logs/repos."", ""safety_quality"": ""Clear operational ownership.""}","{""silent"": [""secrets committed to git""], ""loud"": [""rotation outage""], ""clustered"": [""shared credentials""]}",,ARK:Tyrannosaurus | ARK:Velociraptor | ARK:Therizinosaurus,
RIU-067,Database Migration Safety Wrapper,Schema changes are one-way doors and can cause outages.,"Stage migrations with backfill strategy, compat matrix, and rollback path.",Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,migration_plan.md | backfill_scripts/ | compatibility_matrix.md,one_way,"{""execution"": ""Migrations reversible or safely staged."", ""outcome"": ""No downtime surprises."", ""safety_quality"": ""Backfills monitored.""}","{""silent"": [""partial backfill""], ""loud"": [""lock contention""], ""clustered"": [""large tables""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-068,Canary Rollout + Error Budget Gate,Need to ship while learning safely from real traffic.,Implement canary with error budget gates and objective rollback criteria.,Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,canary_plan.md | error_budget.md | rollback_criteria.md,mixed,"{""execution"": ""Risk limited to small cohort."", ""outcome"": ""Rollback triggers objective."", ""safety_quality"": ""Learning happens safely.""}","{""silent"": [""cohort not representative""], ""loud"": [""false rollback""], ""clustered"": [""traffic skew by region""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-069,Runbook (Day-2 Operations),Solution works but cannot be operated.,"Write runbook: deploy, rollback, troubleshooting, on-call actions, known issues.",Ops & Delivery | Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,runbook.md | known_issues.md,two_way,"{""execution"": ""Ops can run system without builder."", ""outcome"": ""Incidents resolved faster."", ""safety_quality"": ""Support load reduced.""}","{""silent"": [""runbook out of date""], ""loud"": [""missing troubleshooting steps""], ""clustered"": [""multi-service""]}",RIU-061 | RIU-062,Human:Delivery | ARK:Therizinosaurus,
RIU-070,SLO/SLI Definition + Alert Thresholds,Need reliability targets without overpromising.,Define SLIs/SLOs and alert thresholds tied to error budgets.,Ops & Delivery | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,slo_sli.md | alert_thresholds.md,one_way,"{""execution"": ""Reliability targets explicit."", ""outcome"": ""Alerts tied to user impact."", ""safety_quality"": ""Avoid accidental SLA promises.""}","{""silent"": [""SLOs not monitored""], ""loud"": [""alert noise""], ""clustered"": [""traffic spikes""]}",RIU-061 | RIU-068,ARK:Tyrannosaurus | ARK:Velociraptor,
